Submitted At,Symbol,Side,Status,Notional,Filled Qty,Filled Avg Price,Filled Value,PnL ($),Client Order ID,Strategy Type,Strategy Name
2026-03-09 08:32:15.788328+00:00,UNH,BUY,FILLED,0.000000,50.000000,280.520000,14026.000000,,5a3f020f-7e6f-4a8f-8061-eda80fe850e1,5A3F020F-7E6F-4A8F-8061-Eda80Fe850E1,
2026-03-09 08:29:29.445941+00:00,REGN,BUY,FILLED,0.000000,5.000000,764.862000,3824.310000,,529e5624-6453-45d5-9fdf-1c1f0b8d6604,529E5624-6453-45D5-9Fdf-1C1F0B8D6604,
2026-03-09 08:28:15.455038+00:00,AMZN,BUY,FILLED,0.000000,40.000000,211.310000,8452.400000,,abfcaf42-37df-405e-9951-e74a214163bd,Abfcaf42-37Df-405E-9951-E74A214163Bd,
2026-03-09 08:27:15.514113+00:00,SKYW,BUY,FILLED,0.000000,40.000000,90.000000,3600.000000,,eaaa9d25-524c-48f2-96db-84582f358a84,Eaaa9D25-524C-48F2-96Db-84582F358A84,
2026-03-09 08:23:58.319312+00:00,XLE,BUY,FILLED,0.000000,100.000000,56.423600,5642.360000,,547f35c6-3e74-4ffb-9fe1-f3d207041e9e,547F35C6-3E74-4Ffb-9Fe1-F3D207041E9E,
2026-03-09 08:22:47.611390+00:00,NTR,BUY,FILLED,0.000000,40.000000,76.545000,3061.800000,,ac5b0675-1635-4df0-a11b-e598bf6e7b52,Ac5B0675-1635-4Df0-A11B-E598Bf6E7B52,
2026-03-09 08:22:36.576873+00:00,CF,BUY,FILLED,0.000000,40.000000,115.885750,4635.430000,,510fc858-774e-468c-91c9-559056cabb0b,510Fc858-774E-468C-91C9-559056Cabb0B,
2026-03-06 15:09:33.470937+00:00,VSCO,SELL,FILLED,0.000000,9.282304,47.900000,444.622366,-91.33,strategies.momentum.clenow_trend:e474ea49c2694e00,Momentum,Clenow Trend
2026-02-27 15:11:30.663672+00:00,SATS,SELL,FILLED,0.000000,3.854570,109.220000,420.996164,-2.81,strategies.momentum.clenow_trend:04cb7fcdd9d342d1,Momentum,Clenow Trend
2026-02-25 15:38:06.746658+00:00,ARWR,SELL,FILLED,0.000000,9.823936,63.160000,620.479782,8.94,strategies.momentum.clenow_trend:64e4ad73b5174a97,Momentum,Clenow Trend
